GO,G ,G ,G ,G ,G ,G ,G ,H ,H ,X ,X ,P ,P ,P ,P ,P ,P ,H ,H ,H ,H ,H ,H ,H ,H ,X ,X ,,,,,,,,,,,,
M ,M ,M ,M ,M ,H<,H ,H ,H ,H ,X ,X ,X ,X ,X ,X ,X ,X ,H ,H ,S ,S ,S ,S ,S ,S ,S ,S ,,,,,,,,,,,,
M ,M ,M ,M ,M ,M ,M ,M ,H ,H ,X ,X ,X ,X ,X ,X ,X ,X ,H ,H ,S ,S ,S ,S#,S ,S ,S ,S ,,,,,,,,,,,,
M ,M ,M#,M ,M ,M ,M ,M ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H>,S ,S ,S ,S ,S*,S ,S ,S ,,,,,,,,,,,,
M ,M ,M ,M*,M ,M ,M ,M ,H ,H ,H ,H ,Hv,H ,H ,H ,H ,H ,H ,H ,S ,S ,S ,S ,S ,S ,S ,S ,,,,,,,,,,,,
M ,M ,M ,M ,M ,M ,M ,M ,H ,H ,B ,B ,B ,B ,B ,B ,B ,B ,H ,H ,S ,S ,S ,S ,S ,S ,S ,SC,,,,,,,,,,,,
M ,M ,M ,M ,M ,H<,H ,H ,H ,H ,B ,B ,B#,B ,B ,B ,B ,B ,H ,H ,S ,S ,S ,S ,S ,S ,S ,S ,,,,,,,,,,,,
X ,X ,M ,M ,M ,H ,H ,H ,H ,H ,B ,B ,B ,B*,B ,B ,B ,B ,H ,H ,S ,S ,H^,S ,S ,S ,S ,S ,,,,,,,,,,,,
H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,B ,B ,B ,B ,B ,B ,B ,B ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,,,,,,,,,,,,
H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,B ,B ,B ,B ,B ,B ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,X ,,,,,,,,,,,,
C ,C ,C ,C ,C ,C ,C ,H ,H ,H ,H ,H ,H ,H^,H^,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,D ,D ,,,,,,,,,,,,
C ,C ,C ,C ,C ,C ,C ,C ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,D ,D ,D ,D ,D ,,,,,,,,,,,,
C ,C ,C#,C ,C ,C ,C ,C ,C ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,H ,D ,D ,D ,D ,D ,D ,D ,D ,,,,,,,,,,,,
C ,C ,C ,C*,C ,C ,C ,C ,C ,H<,H ,H ,H ,H ,Hv,H ,H ,H ,H ,H>,D ,D ,D ,D#,D ,D ,D ,D ,,,,,,,,,,,,
C ,C ,C ,C ,C ,C ,C ,C ,C ,H ,H ,H ,W ,W ,W ,W ,H ,H ,H ,H ,D ,D ,D ,D ,D*,D ,D ,D ,,,,,,,,,,,,
C ,CS,C ,C ,C ,C ,C ,C ,H ,H ,H ,W ,W ,W ,W ,W ,W ,H ,H ,H ,D ,D ,D ,D ,D ,D ,D ,D ,,,,,,,,,,,,
C ,C ,C ,C ,C ,C ,C ,C ,H ,H ,H ,W ,W#,W ,W ,W ,W ,H ,H ,H ,D ,D ,D ,D ,D ,D ,D ,D ,,,,,,,,,,,,
C ,C ,C ,C ,C ,C ,H ,H ,H ,H ,W ,W ,W ,W*,W ,W ,W ,W ,H ,H ,H ,D ,D ,D ,D ,D ,D ,D ,,,,,,,,,,,,
X ,X ,X ,X ,X ,X ,X ,X ,H ,H ,W ,W ,W ,W ,W ,W ,W ,W ,H ,H ,X ,X ,X ,X ,X ,X ,X ,X ,,,,,,,,,,,,
X ,X ,X ,X ,X ,X ,X ,X ,X ,X ,W ,W ,W ,W ,W ,W ,W ,W ,X ,X ,X ,X ,X ,X ,X ,X ,X ,X ,,,,,,,,,,,,
